idUsuario,nome,estado,telefone,dataNascimento,cidade,email,apelido,pais,foto,nivel,numeroAvaliacoes,IDTipoGeneroFK,IDFonteFK
128826,eduarda,NULL,NULL,NULL,NULL,NULL,eduarda,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
150449,ribamar,NULL,NULL,NULL,NULL,NULL,ribamar,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
128057,tatiana,NULL,NULL,NULL,NULL,NULL,tatiana,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
140929,luís,NULL,NULL,NULL,NULL,NULL,luís,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
276051,gui__laranjeira,NULL,NULL,NULL,NULL,NULL,gui__laranjeira,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,3
276073,"Valrélio Lima",NULL,NULL,NULL,NULL,NULL,"Valrélio Lima",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,20,3,6
72171,"Arnobio Junior",NULL,NULL,NULL,NULL,NULL,"Arnobio Junior",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,23,2,6
246713,"Naara Garrett",NULL,NULL,NULL,NULL,NULL,"Naara Garrett",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,106,3,6
276074,"jorge medeiros",NULL,NULL,NULL,NULL,NULL,"jorge medeiros",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,64,2,6
128022,alexsandro,NULL,NULL,NULL,NULL,NULL,alexsandro,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
145884,maura,NULL,NULL,NULL,NULL,NULL,maura,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
276083,deyvison,NULL,NULL,NULL,NULL,NULL,deyvison,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
224795,janainaguilherme984,NULL,NULL,NULL,NULL,NULL,janainaguilherme984,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,3
276256,"thiago xavier",NULL,NULL,NULL,NULL,NULL,"thiago xavier",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,8,2,6
193085,"Ivanilson Leite",NULL,NULL,NULL,NULL,NULL,"Ivanilson Leite",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,9,2,6
276257,"Dani Bacovis",NULL,NULL,NULL,NULL,NULL,"Dani Bacovis",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,9,3,6
128594,luciana,NULL,NULL,NULL,NULL,NULL,luciana,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
136096,hudson,NULL,NULL,NULL,NULL,NULL,hudson,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
276266,arianny,NULL,NULL,NULL,NULL,NULL,arianny,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
136210,pollyanna,NULL,NULL,NULL,NULL,NULL,pollyanna,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
128459,luana,NULL,NULL,NULL,NULL,NULL,luana,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
128295,rodrigo,NULL,NULL,NULL,NULL,NULL,rodrigo,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
136248,nicolly,NULL,NULL,NULL,NULL,NULL,nicolly,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
186262,josé,NULL,NULL,NULL,NULL,NULL,josé,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
128582,mauro,NULL,NULL,NULL,NULL,NULL,mauro,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
137069,tomaz,NULL,NULL,NULL,NULL,NULL,tomaz,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
111724,gabriel,NULL,NULL,NULL,NULL,NULL,gabriel,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
276279,marilialitwak,NULL,NULL,NULL,NULL,NULL,marilialitwak,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,3
237382,"Rosângela Alves",NULL,NULL,NULL,NULL,NULL,"Rosângela Alves",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,78,3,6
276414,"Esther silva",NULL,NULL,NULL,NULL,NULL,"Esther silva",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,0,3,6
276415,"Katia Sacramento",NULL,NULL,NULL,NULL,NULL,"Katia Sacramento",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,12,1,6
276423,thaylynne,NULL,NULL,NULL,NULL,NULL,thaylynne,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
